2025-02-11 12:38:10.876 | ERROR    | 文件: D:\code\person_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: dictionary_list | 行数: 49 | - 查询字典枚举失败, list indices must be integers or slices, not str
2025-02-13 14:24:12.425 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 674 | - 查询字典枚举失败, <sqlalchemy.orm.attributes.InstrumentedAttribute object at 0x0000029A4A8CA220>
2025-02-13 14:56:01.425 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\Dictionary.py | 模块: QmsBase | 方法: delete_dictionary | 行数: 74 | - 删除字典枚举失败, 字典不存在
2025-02-18 19:23:59.377 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\ToolsInfo.py | 模块: QmsBase | 方法: tools_detail | 行数: 53 | - 查询工具详情失败, tool_id不能为空
2025-02-18 19:24:49.217 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\ToolsInfo.py | 模块: QmsBase | 方法: tools_detail | 行数: 55 | - 查询工具详情失败, tool_id不存在
2025-02-18 19:52:57.993 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\ToolsInfo.py | 模块: QmsBase | 方法: tools_detail | 行数: 55 | - 查询工具详情失败, QueryDictionary() missing 1 required positional argument: 'Mapper'
2025-02-18 19:57:45.016 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 673 | - 查询字典枚举失败, error() missing 1 required positional argument: 'message'
2025-02-18 19:57:45.022 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\ToolsInfo.py | 模块: QmsBase | 方法: tools_detail | 行数: 55 | - 查询工具详情失败, 查询字典枚举失败: error() missing 1 required positional argument: 'message'
2025-02-19 14:22:41.813 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 662 | - 查询字典枚举失败, [(1, 'v5环境'), (2, 'v1环境'), (3, 'test环境'), (4, '线上环境')]
2025-02-19 14:22:41.819 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionaryEnumList | 行数: 679 | - []
2025-02-19 14:22:41.823 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 662 | - 查询字典枚举失败, [(1, '云获')]
2025-02-19 14:22:41.825 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionaryEnumList | 行数: 679 | - []
2025-02-19 14:28:18.379 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 664 | - 查询字典枚举失败, []
2025-02-19 14:28:18.384 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 670 | - 查询字典枚举失败, name 'data' is not defined
2025-02-19 14:28:18.387 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionaryEnumList | 行数: 679 | - 查询工具详情失败, 查询字典枚举失败: name 'data' is not defined
2025-02-19 14:28:18.391 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\ToolsInfo.py | 模块: QmsBase | 方法: tools_detail | 行数: 55 | - 查询工具详情失败, 查询工具详情失败: 查询字典枚举失败: name 'data' is not defined
2025-02-19 14:28:57.426 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 664 | - 查询字典枚举失败, []
2025-02-19 14:28:57.429 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 670 | - 查询字典枚举失败, name 'data' is not defined
2025-02-19 14:28:57.431 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\ToolsInfo.py | 模块: QmsBase | 方法: tools_detail | 行数: 55 | - 查询工具详情失败, 查询字典枚举失败: name 'data' is not defined
2025-02-19 14:29:34.632 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 664 | - 查询字典枚举失败, []
2025-02-19 14:29:34.636 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 664 | - 查询字典枚举失败, []
2025-02-19 14:31:27.399 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 255 | - An unexpected error occurred: not enough values to unpack (expected 2, got 1)
2025-02-19 14:31:27.401 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 201 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:32:12.325 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 255 | - An unexpected error occurred: not enough values to unpack (expected 2, got 1)
2025-02-19 14:32:12.327 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 201 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:32:49.891 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 254 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:32:49.893 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 200 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:33:14.770 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 254 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:33:14.772 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 200 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:33:50.977 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 187 | - 22222222222222222222
2025-02-19 14:33:50.992 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 255 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:33:50.997 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 201 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:34:09.875 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 197 | - 22222222222222222222
2025-02-19 14:34:09.887 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 258 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:34:09.891 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 204 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:35:16.094 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 197 | - 22222222222222222222
2025-02-19 14:35:16.102 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 212 | - [{'enum_id': 1, 'enum_name': 'v5环境'}]
2025-02-19 14:35:16.104 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 257 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:35:16.105 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 202 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:45:22.245 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 197 | - 22222222222222222222
2025-02-19 14:45:22.252 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 212 | - ('v5环境', 1)
2025-02-19 14:45:22.255 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 257 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:45:22.257 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 202 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:46:54.692 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionaryEnumList | 行数: 677 | - [(1, 'v5环境'), (2, 'v1环境'), (3, 'test环境'), (4, '线上环境')]
2025-02-19 14:46:54.696 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionaryEnumList | 行数: 677 | - 云获
2025-02-19 14:52:11.960 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 666 | - [(1, '云获')]
2025-02-19 14:56:47.716 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 254 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:56:47.718 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 200 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:57:31.018 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 210 | - [{'enum_id': 1, 'enum_name': 'v5环境'}]
2025-02-19 14:57:31.021 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 255 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:57:31.023 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 200 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:58:38.531 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 210 | - <class 'list'>
2025-02-19 14:58:38.535 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 255 | - An unexpected error occurred: local variable 'ASYNC_SQLALCHEMY_URI' referenced before assignment
2025-02-19 14:58:38.537 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 200 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 14:58:57.451 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 255 | - An unexpected error occurred: 'coroutine' object is not subscriptable
2025-02-19 14:58:57.454 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: async_operations | 行数: 200 | - An error occurred during async operations: local variable 'first_inserted_id' referenced before assignment
2025-02-19 15:00:11.340 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: QmsBase | 方法: insert_data_into_db | 行数: 210 | - v5环境
2025-02-19 15:00:11.563 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 698 | - 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:01:29.243 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 698 | - 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:01:29.279 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 64 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:02:52.548 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 698 | - 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:02:52.553 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 57 | - 新增导入钩稽数据记录失败, v5环境
2025-02-19 15:02:52.588 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 65 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:09:35.993 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 669 | - 查询字典枚举失败111, [{'enum_id': 1, 'enum_name': 'v5环境'}]
2025-02-19 15:09:36.194 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 669 | - 查询字典枚举失败111, [{'enum_id': 1, 'enum_name': '云获'}]
2025-02-19 15:09:36.198 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 699 | - 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:09:36.201 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: QueryDictionary | 行数: 669 | - 查询字典枚举失败111, [{'enum_id': 1, 'enum_name': 'v5环境'}]
2025-02-19 15:09:36.204 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 57 | - 新增导入钩稽数据记录失败, v5环境
2025-02-19 15:09:36.238 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 65 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:13:02.114 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 698 | - 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:13:02.119 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 57 | - 新增导入钩稽数据记录失败, v5环境
2025-02-19 15:13:02.150 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 65 | - 新增导入钩稽数据记录失败, 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:13:38.819 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\__init__.py | 模块: QmsBase | 方法: CheckDictionary | 行数: 698 | - 查询字典枚举失败, not enough values to unpack (expected 2, got 1)
2025-02-19 15:13:38.824 | ERROR    | 文件: D:\code\lx_git\toolsPlatform\app\crud\AuditDataImport.py | 模块: AuditDataImportModelDao | 方法: insert_import_record | 行数: 57 | - v5环境
